50
,junit.framework.Assert,junit.framework.ComparisonFailure,junit.framework.AssertionFailedError,junit.swingui.TestHierarchyRunView,junit.swingui.TestRunContext,junit.swingui.TestSuitePanel,junit.framework.TestResult,junit.framework.TestListener,junit.swingui.TestRunner,junit.framework.Test,junit.swingui.TestTreeModel,junit.swingui.TestRunView,junit.runner.FailureDetailView,junit.framework.TestFailure,junit.awtui.ProgressBar,junit.extensions.RepeatedTest,junit.extensions.TestDecorator,junit.swingui.DefaultFailureDetailView,junit.runner.BaseTestRunner,junit.textui.TestRunner,junit.runner.TestSuiteLoader,junit.runner.Version,junit.framework.TestSuite,junit.runner.StandardTestSuiteLoader,junit.textui.ResultPrinter,junit.framework.TestCase,junit.runner.TestCaseClassLoader,junit.swingui.CounterPanel,junit.swingui.StatusLine,junit.runner.ReloadingTestSuiteLoader,junit.extensions.ActiveTestSuite,junit.extensions.ExceptionTestCase,junit.swingui.AboutDialog,junit.swingui.TestSelector,junit.framework.ComparisonCompactor,junit.runner.TestRunListener,junit.framework.Protectable,junit.swingui.MacProgressBar,junit.swingui.ProgressBar,junit.runner.SimpleTestCollector,junit.runner.ClassPathTestCollector,junit.runner.TestCollector,junit.swingui.FailureRunView,junit.runner.Sorter,junit.awtui.Logo,junit.extensions.TestSetup,junit.awtui.AboutDialog,junit.awtui.TestRunner,junit.runner.LoadingTestCollector
junit.extensions.ExceptionTestCase,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0,0.0,3.0,3.0,3.0,Infinity,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0
junit.swingui.AboutDialog,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,4.0,Infinity,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
junit.swingui.TestSelector,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,0.0,4.0,Infinity,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0
junit.framework.ComparisonCompactor,1.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,Infinity,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0
junit.runner.TestRunListener,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
junit.framework.Protectable,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,Infinity,0.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0
junit.swingui.MacProgressBar,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,Infinity,3.0,0.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0
junit.swingui.ProgressBar,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,Infinity,3.0,1.0,0.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0
junit.runner.SimpleTestCollector,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,Infinity,3.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0
junit.runner.ClassPathTestCollector,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,Infinity,4.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0
junit.runner.TestCollector,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,4.0,Infinity,3.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0
junit.swingui.FailureRunView,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,Infinity,2.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,3.0,2.0,3.0,2.0,3.0
junit.runner.Sorter,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,5.0,Infinity,4.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,5.0,4.0,4.0,4.0,4.0
junit.awtui.Logo,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,Infinity,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,0.0,3.0,1.0,1.0,3.0
junit.extensions.TestSetup,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,Infinity,1.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,0.0,3.0,2.0,3.0
junit.awtui.AboutDialog,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,Infinity,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,3.0,0.0,1.0,3.0
junit.awtui.TestRunner,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,Infinity,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,0.0,2.0
junit.runner.LoadingTestCollector,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,Infinity,3.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,0.0
